City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
265,papao,-17.75,-149.55,30.82,85,90,8.21,PF,1712877973
266,coquimbo,-29.9533,-71.3436,13.85,88,100,2.57,CL,1712877796
267,pariaman,-0.619,100.12,27.03,79,85,1.76,ID,1712877980
268,polyarnyy,69.1989,33.4478,-0.49,91,100,11.19,RU,1712877723
269,tongliao,43.6125,122.2653,13.58,65,100,8.6,CN,1712877987
270,port blair,11.6667,92.75,28.02,89,8,0.51,IN,1712877990
271,alaghsas,17.0187,8.0168,29.77,10,100,1.33,NE,1712877993
272,peace river,56.2501,-117.286,14.17,26,75,0.0,CA,1712877996
273,mahajanga,-15.7167,46.3167,27.01,83,20,1.54,MG,1712878000
274,ancud,-41.8697,-73.8203,10.57,74,0,1.82,CL,1712877840
275,byron,44.0327,-92.6455,13.79,53,40,9.26,US,1712878006
276,talakan,50.3167,130.3667,6.11,63,93,3.04,RU,1712878009
277,nouadhibou,20.931,-17.0347,18.99,88,0,3.6,MR,1712878013
278,kuraymah,18.55,31.85,23.51,17,32,6.42,SD,1712878016
279,romblon,12.5751,122.2708,27.15,76,99,6.05,PH,1712878019
280,atascocita,29.9988,-95.1766,27.31,38,0,5.14,US,1712878023
281,nuku'alofa,-21.1333,-175.2,30.19,74,20,3.09,TO,1712877734
282,vernon,50.2581,-119.2691,15.34,41,100,1.03,CA,1712877914
283,sawang wirawong,15.2416,105.0922,25.9,50,100,4.63,TH,1712878033
284,broome,42.2506,-75.833,17.72,87,100,6.17,US,1712878036
285,sorong,-0.8833,131.25,27.45,79,99,2.98,ID,1712878039
286,hwange,-18.3693,26.5019,22.33,54,94,4.55,ZW,1712878042
287,muisne,0.6,-80.0333,26.49,79,60,1.78,EC,1712878046
288,bridlington,54.0831,-0.1919,16.05,88,100,10.28,GB,1712878049
289,mabini,15.6,120.9833,26.49,70,80,1.89,PH,1712878052
290,pemangkat,1.1667,108.9667,25.48,91,55,2.16,ID,1712878055
291,ludington,43.9553,-86.4526,9.89,85,100,5.66,US,1712877941
292,bin yauri,10.7823,4.8114,34.66,19,99,0.8,NG,1712878062
293,malanje,-9.5402,16.341,20.01,94,99,1.1,AO,1712878065
294,lucapa,-8.4192,20.7447,20.44,95,99,0.95,AO,1712878069
295,georgetown,5.4112,100.3354,27.75,83,20,0.51,MY,1712878072
296,broken hill,-31.95,141.4333,13.86,55,24,4.79,AU,1712877950
297,westport,41.1415,-73.3579,15.9,91,100,2.24,US,1712878014
298,cooma,-36.2333,149.1333,13.24,68,0,1.57,AU,1712878082
299,uturoa,-16.7333,-151.4333,29.32,73,46,7.9,PF,1712878085
300,puerto lempira,15.2667,-83.7667,29.35,68,64,6.2,HN,1712878088
301,bejaia,36.7559,5.0843,10.6,93,40,4.63,DZ,1712878092
302,gillette,44.2911,-105.5022,12.51,31,0,0.89,US,1712878095
303,boajibu,8.1833,-11.3333,24.75,94,90,0.88,SL,1712878098
304,bazarak,35.3129,69.5152,7.54,72,100,2.17,AF,1712878102
305,huilong,31.8111,121.655,14.08,98,100,4.36,CN,1712878105
306,cabo san lucas,22.8909,-109.9124,27.56,43,40,5.14,MX,1712878108
307,conduaga,8.862,117.4893,25.44,78,45,1.11,PH,1712878111
308,castillos,-34.1667,-53.8333,16.7,58,99,3.16,UY,1712878115
309,horta,38.5333,-28.6333,15.57,93,94,2.24,PT,1712878118
310,kota kinabalu,5.9749,116.0724,25.99,83,20,2.57,MY,1712878121
311,okha,53.5739,142.9478,-1.53,96,78,4.02,RU,1712878125
312,touros,-5.1989,-35.4608,26.8,83,99,3.11,BR,1712878126
313,mount gambier,-37.8333,140.7667,13.64,62,100,1.61,AU,1712878131
314,tan-tan,28.438,-11.1032,24.26,30,0,3.9,MA,1712878135
315,hushitai,41.9322,123.5114,14.95,57,50,6.16,CN,1712878138
316,kiunga,-6.1219,141.2906,23.34,100,100,0.61,PG,1712878141
317,kruisfontein,-34.0033,24.7314,13.27,75,3,3.16,ZA,1712878143
318,baiti,13.745,-14.7482,34.3,17,81,6.1,SN,1712878148
319,mizan teferi,6.9833,35.5833,18.25,88,83,1.51,ET,1712878151
320,bubaque,11.2833,-15.8333,24.18,71,0,9.54,GW,1712878154
321,serchhip,23.3,92.8333,21.99,30,100,1.21,IN,1712878158
322,kone,-21.0595,164.8658,23.18,87,100,0.01,NC,1712878161
323,guerrero negro,27.9769,-114.0611,22.91,43,73,5.2,MX,1712878164
324,bahia de caraquez,-0.6,-80.4167,28.1,78,53,2.7,EC,1712878168
325,paros,37.0833,25.15,18.5,72,46,4.63,GR,1712878171
326,labytnangi,66.6572,66.4183,-6.46,95,100,6.01,RU,1712878174
327,jumla,29.2747,82.1838,3.65,55,67,2.37,NP,1712878177
328,cosala,24.4125,-106.6908,32.89,14,84,4.42,MX,1712878180
329,dailekh,28.8333,81.6667,17.87,21,4,3.51,NP,1712878184
330,northam,51.0333,-4.2167,10.34,95,76,6.78,GB,1712878187
331,datong,40.0936,113.2914,15.22,38,54,3.49,CN,1712878190
332,susuman,62.7833,148.1667,-12.23,92,99,1.34,RU,1712878187
333,tamanrasset,22.785,5.5228,22.95,9,0,4.63,DZ,1712878197
334,vallenar,-28.5708,-70.7581,18.84,61,100,0.89,CL,1712878200
335,ostersund,63.1792,14.6357,3.25,100,75,4.63,SE,1712878204
336,mpraeso,6.5932,-0.7346,23.41,94,97,0.81,GH,1712878208
337,jolo,6.05,121.0167,28.33,72,97,0.41,PH,1712878211
338,gadzhiyevo,69.2551,33.3362,-0.91,88,100,11.39,RU,1712878214
339,san pedro pochutla,15.7333,-96.4667,30.84,66,92,3.3,MX,1712878218
340,kutum,14.2,24.6667,22.94,14,8,3.9,SD,1712878195
341,cottage grove,44.8277,-92.9438,14.45,63,100,4.63,US,1712878224
